ORDEN,NOMBRE REGION,CÓDIGO REGION,NOMBRE PROVINCIA,CODIGO PROVINCIA,EDAD,TOTAL POBLACIÓN EFECTIVAMENTE CENSADA,HOMBRES ,MUJERES,TOTAL ÁREA URBANA,HOMBRES ÁREA URBANA ,MUJERES ÁREA URBANA,TOTAL ÁREA RURAL,HOMBRES ÁREA RURAL,MUJERES ÁREA RURAL
0,PAÍS,País,PAÍS,País,Total País,17.574.003,8.601.989,8.972.014,15.424.263,7.466.848,7.957.415,2.149.740,1.135.141,1.014.599
1,PAÍS,País,PAÍS,País,0,214.682,109.39,105.292,191.763,97.904,93.859,22.919,11.486,11.433
2,PAÍS,País,PAÍS,País,1,236.356,120.289,116.067,210.19,106.888,103.302,26.166,13.401,12.765
3,PAÍS,País,PAÍS,País,2,240.792,122.792,118,213.845,108.953,104.892,26.947,13.839,13.108
4,PAÍS,País,PAÍS,País,3,235.383,120.121,115.262,209.027,106.594,102.433,26.356,13.527,12.829
5,PAÍS,País,PAÍS,País,4,238.933,121.467,117.466,211.559,107.391,104.168,27.374,14.076,13.298
6,PAÍS,País,PAÍS,País,5,238.867,122.107,116.76,211.508,107.998,103.51,27.359,14.109,13.25
7,PAÍS,País,PAÍS,País,6,247.819,126.472,121.347,219.155,111.889,107.266,28.664,14.583,14.081
8,PAÍS,País,PAÍS,País,7,246.261,125.842,120.419,217.237,110.865,106.372,29.024,14.977,14.047
9,PAÍS,País,PAÍS,País,8,241.525,123.364,118.161,212.758,108.689,104.069,28.767,14.675,14.092
10,PAÍS,País,PAÍS,País,9,235.717,120.336,115.381,207.503,105.901,101.602,28.214,14.435,13.779
11,PAÍS,País,PAÍS,País,10,230.34,117.403,112.937,202.199,102.864,99.335,28.141,14.539,13.602
12,PAÍS,País,PAÍS,País,11,228.005,116.804,111.201,199.982,102.255,97.727,28.023,14.549,13.474
13,PAÍS,País,PAÍS,País,12,225.539,115.197,110.342,197.771,100.849,96.922,27.768,14.348,13.42
14,PAÍS,País,PAÍS,País,13,227.584,116.191,111.393,199.297,101.436,97.861,28.287,14.755,13.532
15,PAÍS,País,PAÍS,País,14,235.947,120.26,115.687,207.76,105.584,102.176,28.187,14.676,13.511
16,PAÍS,País,PAÍS,País,15,239.492,122.404,117.088,211.028,107.53,103.498,28.464,14.874,13.59
17,PAÍS,País,PAÍS,País,16,247.94,126.792,121.148,218.957,111.588,107.369,28.983,15.204,13.779
18,PAÍS,País,PAÍS,País,17,247.973,126.938,121.035,219.378,111.523,107.855,28.595,15.415,13.18
19,PAÍS,País,PAÍS,País,18,252.631,128.932,123.699,226.071,114.413,111.658,26.56,14.519,12.041
20,PAÍS,País,PAÍS,País,19,256.661,130.998,125.663,231.416,117.451,113.965,25.245,13.547,11.698
21,PAÍS,País,PAÍS,País,20,266.595,135.405,131.19,240.96,121.87,119.09,25.635,13.535,12.1
22,PAÍS,País,PAÍS,País,21,269.613,136.655,132.958,244.061,123.201,120.86,25.552,13.454,12.098
23,PAÍS,País,PAÍS,País,22,280.114,141.525,138.589,253.177,127.444,125.733,26.937,14.081,12.856
24,PAÍS,País,PAÍS,País,23,281.88,142.527,139.353,254.974,128.395,126.579,26.906,14.132,12.774
25,PAÍS,País,PAÍS,País,24,289.62,146.594,143.026,261.54,131.919,129.621,28.08,14.675,13.405
26,PAÍS,País,PAÍS,País,25,293.441,147.696,145.745,264.707,132.702,132.005,28.734,14.994,13.74
27,PAÍS,País,PAÍS,País,26,301.401,151.971,149.43,271.972,136.472,135.5,29.429,15.499,13.93
28,PAÍS,País,PAÍS,País,27,304.756,153.841,150.915,275.111,138.239,136.872,29.645,15.602,14.043
29,PAÍS,País,PAÍS,País,28,293.416,147.599,145.817,264.882,132.527,132.355,28.534,15.072,13.462
30,PAÍS,País,PAÍS,País,29,281.136,141.158,139.978,253.241,126.44,126.801,27.895,14.718,13.177
31,PAÍS,País,PAÍS,País,30,272.5,136.807,135.693,245.182,122.355,122.827,27.318,14.452,12.866
