REGIÓN,IDENTIFICADOR,PROVINCIA,COMUNA
ARICA Y PARINACOTA,XV,ARICA,ARICA
ARICA Y PARINACOTA,XV,ARICA,CAMARONES
ARICA Y PARINACOTA,XV,PARINACOTA,GENERAL LAGOS
ARICA Y PARINACOTA,XV,PARINACOTA,PUTRE
TARAPACÁ,I,IQUIQUE,ALTO HOSPICIO
TARAPACÁ,I,IQUIQUE,IQUIQUE
TARAPACÁ,I,TAMARUGAL,CAMIÑA
TARAPACÁ,I,TAMARUGAL,COLCHANE
TARAPACÁ,I,TAMARUGAL,HUARA
TARAPACÁ,I,TAMARUGAL,PICA
TARAPACÁ,I,TAMARUGAL,POZO ALMONTE
ANTOFAGASTA,II,ANTOFAGASTA,ANTOFAGASTA
ANTOFAGASTA,II,ANTOFAGASTA,MEJILLONES
ANTOFAGASTA,II,ANTOFAGASTA,SIERRA GORDA
ANTOFAGASTA,II,ANTOFAGASTA,TALTAL
ANTOFAGASTA,II,EL LOA,CALAMA
ANTOFAGASTA,II,EL LOA,OLLAGÜE
ANTOFAGASTA,II,EL LOA,SAN PEDRO DE ATACAMA
ANTOFAGASTA,II,TOCOPILLA,MARÍA ELENA
ANTOFAGASTA,II,TOCOPILLA,TOCOPILLA
ATACAMA,III,CHAÑARAL,CHAÑARAL
ATACAMA,III,CHAÑARAL,DIEGO DE ALMAGRO
ATACAMA,III,COPIAPÓ,CALDERA
ATACAMA,III,COPIAPÓ,COPIAPÓ
ATACAMA,III,COPIAPÓ,TIERRA AMARILLA
ATACAMA,III,HUASCO,ALTO DEL CARMEN
ATACAMA,III,HUASCO,FREIRINA
ATACAMA,III,HUASCO,HUASCO
ATACAMA,III,HUASCO,VALLENAR
COQUIMBO,IV,CHOAPA,CANELA
COQUIMBO,IV,CHOAPA,ILLAPEL
COQUIMBO,IV,CHOAPA,LOS VILOS
COQUIMBO,IV,CHOAPA,SALAMANCA
COQUIMBO,IV,ELQUI,ANDACOLLO
COQUIMBO,IV,ELQUI,COQUIMBO
COQUIMBO,IV,ELQUI,LA HIGUERA
COQUIMBO,IV,ELQUI,LA SERENA
COQUIMBO,IV,ELQUI,PAIHUANO
COQUIMBO,IV,ELQUI,VICUÑA
COQUIMBO,IV,LIMARÍ,COMBARBALÁ
COQUIMBO,IV,LIMARÍ,MONTE PATRIA
COQUIMBO,IV,LIMARÍ,OVALLE
COQUIMBO,IV,LIMARÍ,PUNITAQUI
COQUIMBO,IV,LIMARÍ,RÍO HURTADO
VALPARAÍSO,V,ISLA DE PASCUA,ISLA DE PASCUA
VALPARAÍSO,V,LOS ANDES,CALLE LARGA
VALPARAÍSO,V,LOS ANDES,LOS ANDES
VALPARAÍSO,V,LOS ANDES,RINCONADA DE LOS ANDES
VALPARAÍSO,V,LOS ANDES,SAN ESTEBAN
VALPARAÍSO,V,MARGA MARGA,LIMACHE
VALPARAÍSO,V,MARGA MARGA,OLMUÉ
VALPARAÍSO,V,MARGA MARGA,QUILPUÉ
VALPARAÍSO,V,MARGA MARGA,VILLA ALEMANA
VALPARAÍSO,V,PETORCA,CABILDO
VALPARAÍSO,V,PETORCA,LA LIGUA
VALPARAÍSO,V,PETORCA,PAPUDO
VALPARAÍSO,V,PETORCA,PETORCA
VALPARAÍSO,V,PETORCA,ZAPALLAR
VALPARAÍSO,V,QUILLOTA,HIJUELAS
VALPARAÍSO,V,QUILLOTA,LA CALERA
VALPARAÍSO,V,QUILLOTA,LA CRUZ
VALPARAÍSO,V,QUILLOTA,NOGALES
VALPARAÍSO,V,QUILLOTA,QUILLOTA
VALPARAÍSO,V,SAN ANTONIO,ALGARROBO
VALPARAÍSO,V,SAN ANTONIO,CARTAGENA
VALPARAÍSO,V,SAN ANTONIO,EL QUISCO
VALPARAÍSO,V,SAN ANTONIO,EL TABO
VALPARAÍSO,V,SAN ANTONIO,SAN ANTONIO
VALPARAÍSO,V,SAN ANTONIO,SANTO DOMINGO
VALPARAÍSO,V,SAN FELIPE DE ACONCAGUA,CATEMU
VALPARAÍSO,V,SAN FELIPE DE ACONCAGUA,LLAILLAY
VALPARAÍSO,V,SAN FELIPE DE ACONCAGUA,PANQUEHUE
VALPARAÍSO,V,SAN FELIPE DE ACONCAGUA,PUTAENDO
VALPARAÍSO,V,SAN FELIPE DE ACONCAGUA,SAN FELIPE
VALPARAÍSO,V,SAN FELIPE DE ACONCAGUA,SANTA MARÍA
VALPARAÍSO,V,VALPARAÍSO,CASABLANCA
VALPARAÍSO,V,VALPARAÍSO,CONCÓN
VALPARAÍSO,V,VALPARAÍSO,JUAN FERNÁNDEZ
VALPARAÍSO,V,VALPARAÍSO,PUCHUNCAVÍ
VALPARAÍSO,V,VALPARAÍSO,QUINTERO
VALPARAÍSO,V,VALPARAÍSO,VALPARAÍSO
VALPARAÍSO,V,VALPARAÍSO,VIÑA DEL MAR
O'HIGGINS,VI,CACHAPOAL,CODEGUA
O'HIGGINS,VI,CACHAPOAL,COÍNCO
O'HIGGINS,VI,CACHAPOAL,COLTAUCO
O'HIGGINS,VI,CACHAPOAL,DOÑIHUE
O'HIGGINS,VI,CACHAPOAL,GRANEROS
O'HIGGINS,VI,CACHAPOAL,LAS CABRAS
O'HIGGINS,VI,CACHAPOAL,MACHALÍ
O'HIGGINS,VI,CACHAPOAL,MALLOA
O'HIGGINS,VI,CACHAPOAL,OLIVAR
O'HIGGINS,VI,CACHAPOAL,PEUMO
O'HIGGINS,VI,CACHAPOAL,PICHIDEGUA
O'HIGGINS,VI,CACHAPOAL,QUINTA DE TILCOCO
O'HIGGINS,VI,CACHAPOAL,RANCAGUA
O'HIGGINS,VI,CACHAPOAL,REQUÍNOA
O'HIGGINS,VI,CACHAPOAL,RENGO
O'HIGGINS,VI,CACHAPOAL,SAN FRANCISCO DE MOSTAZAL
O'HIGGINS,VI,CACHAPOAL,SAN VICENTE DE TAGUA TAGUA
O'HIGGINS,VI,CARDENAL CARO,LA ESTRELLA
O'HIGGINS,VI,CARDENAL CARO,LITUECHE
O'HIGGINS,VI,CARDENAL CARO,MARCHIGÜE
O'HIGGINS,VI,CARDENAL CARO,NAVIDAD
O'HIGGINS,VI,CARDENAL CARO,PAREDONES
O'HIGGINS,VI,CARDENAL CARO,PICHILEMU
O'HIGGINS,VI,COLCHAGUA,CHÉPICA
O'HIGGINS,VI,COLCHAGUA,CHIMBARONGO
O'HIGGINS,VI,COLCHAGUA,LOLOL
O'HIGGINS,VI,COLCHAGUA,NANCAGUA
O'HIGGINS,VI,COLCHAGUA,PALMILLA
O'HIGGINS,VI,COLCHAGUA,PERALILLO
O'HIGGINS,VI,COLCHAGUA,PLACILLA
O'HIGGINS,VI,COLCHAGUA,PUMANQUE
O'HIGGINS,VI,COLCHAGUA,SAN FERNANDO
O'HIGGINS,VI,COLCHAGUA,SANTA CRUZ
MAULE,VII,CAUQUENES,CAUQUENES
MAULE,VII,CAUQUENES,CHANCO
MAULE,VII,CAUQUENES,PELLUHUE
MAULE,VII,CURICÓ,CURICÓ
MAULE,VII,CURICÓ,HUALAÑÉ
MAULE,VII,CURICÓ,LICANTÉN
MAULE,VII,CURICÓ,MOLINA
MAULE,VII,CURICÓ,RAUCO
MAULE,VII,CURICÓ,ROMERAL
MAULE,VII,CURICÓ,SAGRADA FAMILIA
MAULE,VII,CURICÓ,TENO
MAULE,VII,CURICÓ,VICHUQUÉN
MAULE,VII,LINARES,COLBÚN
MAULE,VII,LINARES,LINARES
MAULE,VII,LINARES,LONGAVÍ
MAULE,VII,LINARES,PARRAL
MAULE,VII,LINARES,RETIRO
MAULE,VII,LINARES,SAN JAVIER DE LONCOMILLA
MAULE,VII,LINARES,VILLA ALEGRE
MAULE,VII,LINARES,YERBAS BUENAS
MAULE,VII,TALCA,CONSTITUCIÓN
MAULE,VII,TALCA,CUREPTO
MAULE,VII,TALCA,EMPEDRADO
MAULE,VII,TALCA,MAULE
MAULE,VII,TALCA,PELARCO
MAULE,VII,TALCA,PENCAHUE
MAULE,VII,TALCA,RÍO CLARO
MAULE,VII,TALCA,SAN CLEMENTE
MAULE,VII,TALCA,SAN RAFAEL
MAULE,VII,TALCA,TALCA
ÑUBLE,XVI,DIGUILLÍN,BULNES
ÑUBLE,XVI,DIGUILLÍN,CHILLÁN
ÑUBLE,XVI,DIGUILLÍN,CHILLÁN VIEJO
ÑUBLE,XVI,DIGUILLÍN,EL CARMEN
ÑUBLE,XVI,DIGUILLÍN,PEMUCO
ÑUBLE,XVI,DIGUILLÍN,PINTO
ÑUBLE,XVI,DIGUILLÍN,QUILLÓN
ÑUBLE,XVI,DIGUILLÍN,SAN IGNACIO
ÑUBLE,XVI,DIGUILLÍN,YUNGAY
ÑUBLE,XVI,ITATA,COBQUECURA
ÑUBLE,XVI,ITATA,COELEMU
ÑUBLE,XVI,ITATA,NINHUE
ÑUBLE,XVI,ITATA,PORTEZUELO
ÑUBLE,XVI,ITATA,QUIRIHUE
ÑUBLE,XVI,ITATA,RÁNQUIL
ÑUBLE,XVI,ITATA,TREGUACO
ÑUBLE,XVI,PUNILLA,COIHUECO
ÑUBLE,XVI,PUNILLA,ÑIQUÉN
ÑUBLE,XVI,PUNILLA,SAN CARLOS
ÑUBLE,XVI,PUNILLA,SAN FABIÁN
ÑUBLE,XVI,PUNILLA,SAN NICOLÁS
BIOBÍO,VIII,ARAUCO,ARAUCO
BIOBÍO,VIII,ARAUCO,CAÑETE
BIOBÍO,VIII,ARAUCO,CONTULMO
BIOBÍO,VIII,ARAUCO,CURANILAHUE
BIOBÍO,VIII,ARAUCO,LEBU
BIOBÍO,VIII,ARAUCO,LOS ÁLAMOS
BIOBÍO,VIII,ARAUCO,TIRÚA
BIOBÍO,VIII,BIOBÍO,ALTO BIOBÍO
BIOBÍO,VIII,BIOBÍO,ANTUCO
BIOBÍO,VIII,BIOBÍO,CABRERO
BIOBÍO,VIII,BIOBÍO,LAJA
BIOBÍO,VIII,BIOBÍO,LOS ÁNGELES
BIOBÍO,VIII,BIOBÍO,MULCHÉN
BIOBÍO,VIII,BIOBÍO,NACIMIENTO
BIOBÍO,VIII,BIOBÍO,NEGRETE
BIOBÍO,VIII,BIOBÍO,QUILACO
BIOBÍO,VIII,BIOBÍO,QUILLECO
BIOBÍO,VIII,BIOBÍO,SAN ROSENDO
BIOBÍO,VIII,BIOBÍO,SANTA BÁRBARA
BIOBÍO,VIII,BIOBÍO,TUCAPEL
BIOBÍO,VIII,BIOBÍO,YUMBEL
BIOBÍO,VIII,CONCEPCIÓN,CHIGUAYANTE
BIOBÍO,VIII,CONCEPCIÓN,CONCEPCIÓN
BIOBÍO,VIII,CONCEPCIÓN,CORONEL
BIOBÍO,VIII,CONCEPCIÓN,FLORIDA
BIOBÍO,VIII,CONCEPCIÓN,HUALPÉN
BIOBÍO,VIII,CONCEPCIÓN,HUALQUI
BIOBÍO,VIII,CONCEPCIÓN,LOTA
BIOBÍO,VIII,CONCEPCIÓN,PENCO
BIOBÍO,VIII,CONCEPCIÓN,SAN PEDRO DE LA PAZ
BIOBÍO,VIII,CONCEPCIÓN,SANTA JUANA
BIOBÍO,VIII,CONCEPCIÓN,TALCAHUANO
BIOBÍO,VIII,CONCEPCIÓN,TOMÉ
ARAUCANÍA,IX,CAUTÍN,CARAHUE
ARAUCANÍA,IX,CAUTÍN,CHOLCHOL
ARAUCANÍA,IX,CAUTÍN,CUNCO
ARAUCANÍA,IX,CAUTÍN,CURARREHUE
ARAUCANÍA,IX,CAUTÍN,FREIRE
ARAUCANÍA,IX,CAUTÍN,GALVARINO
ARAUCANÍA,IX,CAUTÍN,GORBEA
ARAUCANÍA,IX,CAUTÍN,LAUTARO
ARAUCANÍA,IX,CAUTÍN,LONCOCHE
ARAUCANÍA,IX,CAUTÍN,MELIPEUCO
ARAUCANÍA,IX,CAUTÍN,NUEVA IMPERIAL
ARAUCANÍA,IX,CAUTÍN,PADRE LAS CASAS
ARAUCANÍA,IX,CAUTÍN,PERQUENCO
