PROVINCIA,SOLAR MITAD,EÓLICA MITAD,HIDRO MITAD,SOLAR FINAL,EÓLICA FINAL,HIDRO FINAL
ANTOFAGASTA,10000000.0,0.0,0.0,10000000.0,-0.0,0.0
ANTÁRTICA CHILENA,2643.0,0.0,0.0,2643.0,-0.0,0.0
ARAUCO,2643.0,0.0,0.0,2643.0,0.0,0.0
ARICA,2643.0,0.0,0.0,2554368.0,-0.0,0.0
AYSÉN,2643.0,0.0,-0.0,2643.0,-0.0,-0.0
BIOBÍO,0.0,0.0,477956.0,4557455.0,0.0,477956.0
CACHAPOAL,2643.0,-0.0,0.0,2270724.0,-0.0,0.0
CAPITÁN PRAT,0.0,0.0,1396467.0,0.0,-0.0,1396467.0
CARDENAL CARO,2643.0,0.0,0.0,996397.0,-0.0,-0.0
CAUQUENES,2643.0,0.0,-0.0,915152.0,-0.0,-0.0
CAUTÍN,0.0,0.0,707992.0,0.0,-0.0,707992.0
CHACABUCO,0.0,0.0,8309.0,627366.0,-0.0,79826.0
CHAÑARAL,7532127.0,0.0,0.0,7532127.0,-0.0,0.0
CHILOÉ,2643.0,0.0,0.0,2643.0,0.0,-0.0
CHOAPA,2643.0,-0.0,0.0,3068672.0,-0.0,0.0
COLCHAGUA,2643.0,0.0,0.0,1680617.0,-0.0,0.0
CONCEPCIÓN,2643.0,0.0,-0.0,1052491.0,-0.0,-0.0
COPIAPÓ,9861279.0,0.0,0.0,9861279.0,0.0,0.0
CORDILLERA,2643.0,0.0,0.0,1669468.0,0.0,0.0
COYHAIQUE,2643.0,0.0,0.0,2643.0,-0.0,-0.0
CURICÓ,0.0,0.0,8309.0,1591038.0,-0.0,280768.0
EL LOA,10000000.0,0.0,0.0,10000000.0,0.0,0.0
ELQUI,2643.0,-0.0,0.0,5186299.0,-0.0,0.0
GENERAL CARRERA,2643.0,0.0,-0.0,2643.0,-0.0,-0.0
HUASCO,2643.0,0.0,0.0,5506667.0,-0.0,-0.0
IQUIQUE,2643.0,-0.0,0.0,904415.0,-0.0,-0.0
ISLA DE PASCUA,2643.0,-0.0,0.0,74410.0,-0.0,0.0
LIMARÍ,2643.0,-0.0,0.0,4044949.0,-0.0,0.0
LINARES,2643.0,-0.0,0.0,3051972.0,-0.0,0.0
LLANQUIHUE,2643.0,0.0,0.0,2643.0,0.0,-0.0
LOS ANDES,2643.0,0.0,0.0,930668.0,-0.0,-0.0
MAGALLANES,0.0,-0.0,8309.0,0.0,-0.0,8309.0
MAIPO,0.0,-0.0,8309.0,339553.0,-0.0,43204.0
MALLECO,0.0,0.0,494444.0,0.0,0.0,494444.0
MARGA MARGA,2643.0,-0.0,0.0,350517.0,-0.0,44599.0
MELIPILLA,2643.0,0.0,0.0,1231573.0,-0.0,-0.0
OSORNO,2643.0,0.0,0.0,2643.0,0.0,0.0
PALENA,0.0,0.0,579061.0,0.0,-0.0,579061.0
PARINACOTA,2479440.0,0.0,315484.0,2479440.0,-0.0,315484.0
PETORCA,0.0,-0.0,177033.0,1391333.0,-0.0,177033.0
QUILLOTA,0.0,-0.0,42894.0,337116.0,-0.0,42894.0
RANCO,0.0,0.0,349757.0,0.0,0.0,349757.0
SAN ANTONIO,2643.0,0.0,0.0,459351.0,-0.0,0.0
SANTIAGO,2643.0,-0.0,-0.0,614683.0,-0.0,-0.0
TALAGANTE,2643.0,0.0,0.0,175734.0,-0.0,0.0
TALCA,0.0,0.0,8309.0,0.0,-0.0,8309.0
TIERRA DEL FUEGO,0.0,0.0,839459.0,0.0,-0.0,839459.0
TOCOPILLA,1520033.0,0.0,631102.0,4959935.0,-0.0,631102.0
VALDIVIA,0.0,0.0,353124.0,0.0,-0.0,353124.0
VALPARAÍSO,2643.0,0.0,0.0,2643.0,-0.0,0.0
ÚLTIMA ESPERANZA,0.0,0.0,2180656.0,0.0,-0.0,2180656.0
